Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.53 | Remaining:00:03.73 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 368/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.54 | Remaining:00:03.59 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 384/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.54 | Remaining:00:03.46 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 400/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.54 | Remaining:00:03.35 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 416/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:03.23 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 432/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:03.13 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 448/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:03.02 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 464/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.55 | Remaining:00:02.93 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 480/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.56 | Remaining:00:02.84 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 496/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.56 | Remaining:00:02.75 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 512/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.56 | Remaining:00:02.67 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 528/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.56 | Remaining:00:02.59 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 544/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.56 | Remaining:00:02.52 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 560/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.45 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 576/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.38 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 592/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.31 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 608/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.25 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 624/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.19 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 640/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.13 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 656/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.08 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 672/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:02.03 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 688/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.57 | Remaining:00:01.97 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 704/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.93 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 720/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.88 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 736/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.84 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 752/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.79 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 768/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.75 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 784/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.71 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 800/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.67 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 816/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.63 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 832/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.60 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 848/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.56 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 864/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.53 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 880/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.49 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 896/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.46 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 912/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.58 | Remaining:00:01.43 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 928/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.40 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 944/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.37 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 960/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.35 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 976/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.32 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 992/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.29 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1008/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.27 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1024/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.24 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1040/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.22 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1056/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.20 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1072/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.17 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1088/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.15 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1104/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.13 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1120/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.11 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1136/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.09 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1152/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.07 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1168/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.05 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1184/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.03 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1200/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.01 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1216/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:01.00 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1232/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.59 | Remaining:00:00.98 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1248/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.96 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1264/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.95 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1280/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.93 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1296/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.91 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1312/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.90 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1328/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.88 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1344/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.87 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1360/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.85 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1376/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.84 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1392/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.83 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1408/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.81 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1424/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.80 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1440/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.79 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1456/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.77 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1472/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.76 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1488/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.75 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1504/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.74 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1520/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.73 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1536/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.72 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1552/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.70 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1568/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.69 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1584/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.60 | Remaining:00:00.68 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1600/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.67 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1616/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.66 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1632/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.65 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1648/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.64 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1664/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.63 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1680/4096
Fra:1 Mem:94.81M (Peak 94.81M) | Time:00:00.61 | Remaining:00:00.62 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1696/4096
Fra:1 Mem:94.81M (Peak 95.96M) | Time:00:00.66 | Remaining:00:00.69 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 1712/4096
Fra:1 Mem:96.34M (Peak 98.64M) | Time:00:00.72 | Remaining:00:00.76 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Sample 0/4096
Fra:1 Mem:96.34M (Peak 98.64M) | Time:00:00.72 | Remaining:00:00.76 | Mem:57.47M, Peak:57.47M | Scene, ViewLayer | Finished
Saved: '/Users/chrisgreen/Desktop/UniversalPerturbation/results/results_angle_9.jpg'
Time: 00:00.72 (Saving: 00:00.00)

yer | Sample 0/4096
